iso_639_1,name
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
es,Español
fr,Français
en,English
en,English
de,Deutsch
en,English
en,English
ru,Pусский
es,Español
en,English
en,English
de,Deutsch
en,English
en,English
en,English
la,Latin
en,English
en,English
en,English
en,English
en,English
en,English
en,English
de,Deutsch
en,English
es,Español
nl,Nederlands
en,English
en,English
en,English
en,English
en,English
cn,广州话 / 廣州話
fr,Français
zh,普通话
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
ru,Pусский
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
en,English
en,English
es,Español
en,English
fr,Français
hu,Magyar
,
en,English
sq,shqip
it,Italiano
en,English
de,Deutsch
en,English
en,English
en,English
es,Español
it,Italiano
es,Español
en,English
fr,Français
en,English
en,English
fr,Français
ko,한국어/조선말
es,Español
en,English
en,English
es,Español
en,English
en,English
ru,Pусский
en,English
hu,Magyar
en,English
fr,Français
es,Español
en,English
en,English
es,Español
en,English
es,Español
en,English
fr,Français
en,English
en,English
en,English
de,Deutsch
en,English
en,English
en,English
fa,فارسی
en,English
nl,Nederlands
en,English
,
en,English
da,Dansk
en,English
fr,Français
de,Deutsch
en,English
fr,Français
ru,Pусский
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
en,English
de,Deutsch
en,English
en,English
,
en,English
fr,Français
la,Latin
gd,
en,English
es,Español
cn,广州话 / 廣州話
en,English
en,English
fr,Français
de,Deutsch
en,English
fr,Français
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
en,English
cn,广州话 / 廣州話
en,English
ja,日本語
zh,普通话
it,Italiano
en,English
en,English
ar,العربية
fr,Français
,
en,English
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
en,English
,
fr,Français
en,English
fr,Français
en,English
hr,Hrvatski
bs,Bosanski
en,English
en,English
de,Deutsch
en,English
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
mn,
es,Español
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
en,English
de,Deutsch
ro,Română
en,English
en,English
en,English
fr,Français
en,English
id,Bahasa indonesia
ms,Bahasa melayu
en,English
it,Italiano
ja,日本語
ru,Pусский
en,English
fr,Français
en,English
ja,日本語
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
ru,Pусский
en,English
de,Deutsch
en,English
en,English
es,Español
en,English
ru,Pусский
en,English
en,English
en,English
en,English
en,English
,
en,English
en,English
en,English
en,English
hu,Magyar
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
en,English
de,Deutsch
es,Español
en,English
cn,广州话 / 廣州話
en,English
en,English
en,English
de,Deutsch
ru,Pусский
sq,shqip
en,English
mk,
en,English
de,Deutsch
fr,Français
fr,Français
es,Español
en,English
en,English
en,English
en,English
en,English
it,Italiano
sv,svenska
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
zh,普通话
en,English
he,עִבְרִית
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
en,English
en,English
ru,Pусский
en,English
en,English
en,English
fr,Français
de,Deutsch
en,English
de,Deutsch
en,English
fr,Français
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
de,Deutsch
fr,Français
en,English
fr,Français
en,English
fr,Français
en,English
es,Español
kw,
en,English
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
es,Español
en,English
cs,Český
en,English
hu,Magyar
en,English
en,English
en,English
cn,广州话 / 廣州話
en,English
en,English
en,English
en,English
nv,
ja,日本語
en,English
en,English
mi,
en,English
en,English
ko,한국어/조선말
fr,Français
en,English
en,English
en,English
en,English
es,Español
fr,Français
en,English
en,English
zh,普通话
en,English
en,English
tl,
en,English
ja,日本語
fr,Français
it,Italiano
en,English
en,English
fr,Français
it,Italiano
ru,Pусский
es,Español
en,English
fr,Français
fr,Français
pl,Polski
fr,Français
hu,Magyar
pl,Polski
zh,普通话
en,English
en,English
en,English
en,English
en,English
ga,Gaeilge
en,English
en,English
no,Norsk
sv,svenska
en,English
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
de,Deutsch
zh,普通话
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
cn,广州话 / 廣州話
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
de,Deutsch
ru,Pусский
fr,Français
en,English
en,English
en,English
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
es,Español
en,English
fr,Français
en,English
en,English
sk,Slovenčina
de,Deutsch
en,English
en,English
en,English
sv,svenska
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
la,Latin
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
ar,العربية
de,Deutsch
en,English
fr,Français
vi,Tiếng Việt
en,English
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
ja,日本語
en,English
,
en,English
en,English
,
en,English
en,English
en,English
en,English
,
,
en,English
,
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
it,Italiano
en,English
en,English
en,English
en,English
ru,Pусский
es,Español
en,English
en,English
gd,
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
it,Italiano
en,English
en,English
en,English
es,Español
en,English
it,Italiano
ru,Pусский
en,English
en,English
en,English
cs,Český
en,English
en,English
hu,Magyar
en,English
en,English
en,English
en,English
en,English
en,English
en,English
de,Deutsch
en,English
yi,
zh,普通话
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
