name,id
Pixar Animation Studios,3.0
TriStar Pictures,559.0
Teitler Film,2550.0
Interscope Communications,10201.0
Warner Bros.,6194.0
Lancaster Gate,19464.0
Twentieth Century Fox Film Corporation,306.0
Sandollar Productions,5842.0
Touchstone Pictures,9195.0
Regency Enterprises,508.0
Forward Pass,675.0
Warner Bros.,6194.0
Paramount Pictures,4.0
Scott Rudin Productions,258.0
Mirage Enterprises,932.0
Sandollar Productions,5842.0
Constellation Entertainment,14941.0
Worldwide,55873.0
Mont Blanc Entertainment GmbH,58079.0
Walt Disney Pictures,2.0
Universal Pictures,33.0
Imperial Entertainment,21437.0
Signature Entertainment,23770.0
United Artists,60.0
Eon Productions,7576.0
Columbia Pictures,5.0
Castle Rock Entertainment,97.0
Columbia Pictures,5.0
Castle Rock Entertainment,97.0
Enigma Pictures,6368.0
Universal Pictures,33.0
Amblin Entertainment,56.0
Amblimation,4105.0
Hollywood Pictures,915.0
Cinergi Pictures Entertainment,1504.0
Le Studio Canal+,183.0
Laurence Mark Productions,415.0
Metro-Goldwyn-Mayer (MGM),8411.0
Carolco Pictures,14723.0
Universal Pictures,33.0
Légende Entreprises,10898.0
Syalis DA,11583.0
De Fina-Cappa,11584.0
Columbia Pictures Corporation,441.0
Mirage Enterprises,932.0
Miramax Films,14.0
A Band Apart,59.0
O Entertainment,5682.0
Warner Bros.,6194.0
Morgan Creek Productions,10210.0
Columbia Pictures,5.0
Jersey Films,216.0
Metro-Goldwyn-Mayer (MGM),8411.0
Regency Enterprises,508.0
New Regency Pictures,10104.0
Silver Pictures,1885.0
Canal+,5358.0
Warner Bros.,6194.0
Dino De Laurentiis Company,10308.0
Donner/Shuler-Donner Productions,23397.0
Evansgideon/Lazar,25061.0
Caravan Pictures,175.0
Hollywood Pictures,915.0
United Artists,60.0
Intial Productions,15547.0
Columbia Pictures,5.0
Castle Rock Entertainment,97.0
New Line Cinema,12.0
BBC Films,288.0
,
Ministère des Affaires Étrangères,2588.0
Alpha Films,4507.0
La Sept Cinéma,23647.0
Hollywood Pictures,915.0
Via Rosa Productions,10103.0
Don Simpson/Jerry Bruckheimer Films,10288.0
Universal Pictures,33.0
Atlas Entertainment,507.0
Classico,17031.0
Iwerks Entertainment,70801.0
Universal Pictures,33.0
Kennedy Miller Productions,2537.0
StudioCanal,694.0
Cinéa,874.0
Euston Films,8363.0
Freeway Films,19316.0
European Co-production Fund,30226.0
Polygram Filmed Entertainment,31080.0
Orsans Productions,44821.0
Havoc,406.0
PolyGram Filmed Entertainment,1382.0
Working Title Films,10163.0
Sony New Technologies,53390.0
Dualstar Productions,6130.0
Warner Bros.,6194.0
Rysher Entertainment,11661.0
Orr & Cruickshank,89131.0
Paramount Pictures,4.0
Miramax,53009.0
Distant Horizon,85681.0
Alpine Pty Limited,89840.0
British Screen,871.0
Mayfair Entertainment International,34237.0
Caravan Pictures,175.0
Underworld Entertainment,476.0
Hollywood Pictures,915.0
Miramax Films,14.0
New Line Cinema,12.0
Threshold Entertainment,4174.0
The Rank Organisation,364.0
Columbia Pictures Corporation,441.0
Universal Pictures,33.0
Amblin Entertainment,56.0
New Line Cinema,12.0
Juno Pix,4286.0
Cecchi Gori Pictures,65394.0
Walt Disney Pictures,2.0
Walt Disney Feature Animation,10217.0
Alliance Communications Corporation,2480.0
Blue Parrot Productions,361.0
Bad Hat Harry Productions,9168.0
,
Miramax Films,14.0
Magnolia Pictures,1030.0
,
Walt Disney Pictures,2.0
Caravan Pictures,175.0
Miramax Films,14.0
CiBy 2000,7832.0
Telefilm Canada,7320.0
Melenny Productions,10260.0
Paramount Pictures,4.0
Egg Pictures,802.0
PolyGram Filmed Entertainment,1382.0
,
,
Paramount Pictures,4.0
Columbia Pictures Corporation,441.0
The Kennedy/Marshall Company,862.0
Paramount Pictures,4.0
Hollywood Pictures,915.0
The Charlie Mopic Company,916.0
PolyGram Filmed Entertainment,1382.0
Interscope Communications,10201.0
Miramax Films,14.0
Island Pictures,3492.0
Ivory Way Productions,5441.0
Warner Bros.,6194.0
Morgan Creek Productions,10210.0
Metro-Goldwyn-Mayer (MGM),8411.0
Motion Picture Corporation of America (MPCA),11061.0
3 Arts Entertainment,36390.0
Weasel Productions,38003.0
New Line Cinema,12.0
Miramax Films,14.0
Renn Productions,82.0
Les Films Flam,1614.0
TF1 Films Production,3823.0
Canal+,5358.0
New Line Cinema,12.0
A Band Apart,59.0
Dimension Films,7405.0
Los Hooligans Productions,11705.0
Miramax,53009.0
Silver Pictures,1885.0
Warner Bros.,6194.0
Castleberg Productions,5841.0
Sandollar Productions,5842.0
Les Films 13,1742.0
Canal+,5358.0
TF1,22123.0
New Line Cinema,12.0
Juno Pix,4286.0
Warner Bros.,6194.0
Morgan Creek Productions,10210.0
The Movie Network (TMN),3388.0
Allegro Films,4899.0
Fuji Eight Company Ltd.,7958.0
Fries Film Group,23096.0
Super Ecran,23097.0
Triumph Films,23098.0
Zweites Deutsches Fernsehen (ZDF),4606.0
Ciak Filmproduktion,83201.0
Bluehorse Films,93174.0
Miramax Films,14.0
Columbia Pictures Corporation,441.0
I.R.I.B. Channel 2,38953.0
Ferdos Films,38954.0
Miramax Films,14.0
Bergen Film,575.0
Bard Entertainments,576.0
NPS Televisie,577.0
BET Pictures,38196.0
United Image Entertainme,38197.0
,
Playhouse International Pictures,2492.0
The Samuel Goldwyn Company,8888.0
Hollywood Pictures,915.0
Largo Entertainment,1644.0
Scott Free Productions,1645.0
Twentieth Century Fox Film Corporation,306.0
Joe Wizan/Todd Black,3311.0
Paramount Pictures,4.0
Paramount Pictures,4.0
Miramax Films,14.0
Addis Wechsler Pictures,4665.0
TriStar Pictures,559.0
NFH Productions,18737.0
Paramount Pictures,4.0
Miramax Films,14.0
Woods Entertainment,979.0
Twentieth Century Fox Film Corporation,306.0
